Time,Mode,Gesture,BestCompletion
2025-07-22T16:58:01,local,paper,25.00
2025-07-22T16:58:14,local,rock,49.69
2025-07-22T16:58:25,local,rock,33.39
2025-07-22T17:09:52,local,scissors,25.00
2025-07-22T17:16:43,local,paper,25.00
2025-07-22T17:17:01,local,rock,37.68
2025-07-22T17:17:15,local,scissors,25.00
2025-07-22T18:27:04,local,rock,48.94
2025-07-22T18:29:00,local,rock,49.56
2025-07-22T18:29:37,local,rock,29.65
2025-07-22T18:29:56,local,scissors,25.83
2025-07-22T18:30:23,local,rock,0.00
2025-07-22T21:56:21,local,rock,45.70
2025-07-23T09:33:29,local,rock,49.95
2025-07-23T09:33:42,local,scissors,25.00
2025-07-23T09:33:56,local,paper,25.00
2025-07-23T09:39:32,local,paper,25.00
2025-07-23T09:46:07,local,rock,49.58
2025-07-23T14:18:55,local,paper,25.00
